date,pre,hum,tem,occ
25/05/2020 20:00,93810.89,43.35,32.66,L
27/05/2020 02:35,94794.22,57.11,29.64,L
25/05/2020 16:40,93900.83,50.31,32.15,M
24/05/2020 11:45,94258.37,53.79,31.56,H
27/05/2020 08:00,94784.49,62.82,27.18,E
27/05/2020 00:05,94860.33,59.33,28.62,E
04/06/2020 05:00,94576.56,59.34,30.51,L
01/06/2020 07:15,95077.1,63.32,26.31,E
29/05/2020 08:20,95119.46,53.36,29.2,E
27/05/2020 05:50,94735.84,56.28,29.6,L
24/05/2020 13:05,94229.85,52.84,32.07,L
04/06/2020 04:10,94591.24,58.47,30.53,L
24/05/2020 12:05,94258.01,53.62,31.68,M
04/06/2020 14:45,94525.41,53.18,30.8,L
25/05/2020 20:40,93911.73,46.26,32.58,L
01/06/2020 03:10,95091.78,58.65,29.74,L
29/05/2020 05:45,95019.18,53.4,31.01,L
31/05/2020 19:50,94977.73,55.09,29.95,L
04/06/2020 19:10,94397.44,50.52,31.43,M
28/05/2020 10:40,94844.42,58.89,30.42,L
25/05/2020 20:10,93829.39,42.12,32.58,L
14/05/2020 22:05,94300.54,56.05,30.94,L
25/05/2020 23:25,94160.81,50.27,32.91,M
27/05/2020 06:15,94747.87,56.19,29.56,L
25/05/2020 20:55,93939.39,46.92,32.56,L
15/05/2020 00:55,94331.53,61.06,30.51,M
26/05/2020 05:55,94531.21,56.06,28.79,L
04/06/2020 03:40,94581.47,57.19,30.61,L
26/05/2020 06:25,94559.49,55.87,28.74,L
01/06/2020 11:20,95230.38,60.94,28.7,L
04/06/2020 22:30,94557.15,56.66,31.52,E
04/06/2020 19:45,94429.48,53.94,31.59,M
04/06/2020 08:20,94658.73,62.42,29.77,E
28/05/2020 12:30,94901.42,55.91,30.45,E
27/05/2020 05:15,94735.51,56.2,29.7,L
04/06/2020 12:40,94666.56,60.31,30.7,L
04/06/2020 02:50,94612.13,51.72,30.62,L
27/05/2020 07:20,94779.95,61.94,27.25,E
27/05/2020 08:30,94812.77,63.17,27.25,E
14/05/2020 22:30,94313.45,56.37,30.86,L
26/05/2020 01:50,94291.21,45.79,31.89,L
28/05/2020 12:55,94898.25,56.9,30.44,E
27/05/2020 06:20,94751.45,56.19,29.56,L
26/05/2020 03:30,94301.6,54.5,30.46,L
31/05/2020 19:30,94903.79,50.51,30.6,M
27/05/2020 06:55,94762.01,56.31,29.53,L
27/05/2020 04:15,94751.76,56.69,29.71,L
26/05/2020 06:30,94570.65,55.97,28.61,L
28/05/2020 05:10,94705.05,56.85,30.9,L
26/05/2020 00:30,94338.72,53.57,31.73,L
26/05/2020 01:55,94270.6,49.4,31.74,L
04/06/2020 12:50,94652.7,60.32,30.74,L
25/05/2020 21:25,94040.95,50.28,32.43,L
27/05/2020 03:15,94770.43,56.75,29.7,L
04/06/2020 10:35,94686.37,60.78,30.33,L
01/06/2020 02:55,95102.55,58.58,29.72,L
27/05/2020 04:40,94760.74,56.45,29.69,L
25/05/2020 16:50,93882.62,49.63,32.15,M
29/05/2020 00:25,95155.38,47.13,31.84,M
27/05/2020 07:00,94759.8,56.36,29.53,L
26/05/2020 02:50,94208.75,55.74,30,L
04/06/2020 12:35,94667.01,60.24,30.66,L
28/05/2020 11:40,94833.7,57.86,30.55,E
04/06/2020 14:05,94578.02,49.68,30.5,L
04/06/2020 02:45,94611.85,52.99,30.68,L
29/05/2020 08:30,95177.95,53.52,28.73,E
14/05/2020 22:50,94334.19,56.33,30.91,L
01/06/2020 02:45,95118.34,58.62,29.71,L
01/06/2020 08:50,95201.98,68.85,25.8,E
29/05/2020 00:45,95204.02,46.85,31.59,M
26/05/2020 11:00,94873.61,71.18,27.08,L
26/05/2020 06:35,94582.74,55.39,28.83,L
04/06/2020 12:45,94662.01,60.25,30.71,L
15/05/2020 00:00,94370.77,58.81,30.95,H
25/05/2020 17:05,93875.38,48.37,32.28,M
25/05/2020 23:35,94192.07,51.06,32.44,M
27/05/2020 05:55,94739.39,56.24,29.59,L
04/06/2020 07:25,94630.09,62.2,29.84,E
04/06/2020 12:00,94682.81,60.07,30.75,L
01/06/2020 04:55,95081.56,57.75,29.56,L
25/05/2020 19:25,93755.99,46.1,32.52,L
28/05/2020 04:35,94606.07,56.35,31.01,L
27/05/2020 09:45,94829.89,63.1,27.56,L
04/06/2020 06:35,94597.34,61.69,29.79,L
01/06/2020 04:10,95091.88,58.43,29.65,L
25/05/2020 18:00,93819.35,45.91,31.82,L
28/05/2020 06:55,94636.95,57.26,30.81,L
28/05/2020 03:35,94416.19,55.43,31.03,L
01/06/2020 01:55,95121.18,61.54,29.66,L
29/05/2020 02:35,95208.28,51.96,30.92,L
28/05/2020 01:40,94449.47,53.94,30.88,L
29/05/2020 05:10,95063.57,53.35,31.01,L
04/06/2020 21:55,94547.07,49.13,31.17,L
28/05/2020 04:30,94579.33,56.24,31.04,L
26/05/2020 03:55,94369.92,47.58,30.86,L
26/05/2020 00:35,94350.9,52.84,31.78,L
26/05/2020 00:05,94326.29,53.28,31.4,M
26/05/2020 06:10,94527.14,56.65,28.41,L
26/05/2020 02:00,94263.42,52.49,31.4,L
29/05/2020 02:55,95053.21,52.09,31.03,L
31/05/2020 19:15,94839.63,48.02,30.89,H
27/05/2020 06:50,94764.38,56.28,29.53,L
04/06/2020 14:40,94533.93,52.74,30.69,L
29/05/2020 07:05,95077.91,53.74,30.75,L
01/06/2020 02:50,95112.81,58.52,29.71,L
04/06/2020 06:50,94596.06,61.32,29.94,L
25/05/2020 23:15,94136.96,50.75,32.53,L
28/05/2020 11:30,94818.73,58.37,30.54,E
04/06/2020 09:15,94716.36,61.55,29.94,E
01/06/2020 11:50,95212.26,58.96,29.17,M
25/05/2020 20:45,93918.7,45.16,32.45,L
25/05/2020 15:50,93946.21,53.19,32.1,M
29/05/2020 08:00,95131.75,53.14,29.46,L
26/05/2020 05:45,94531.3,56.5,28.86,L
26/05/2020 05:00,94524.4,51.16,29.78,L
27/05/2020 00:30,94866.75,59.93,28.5,E
25/05/2020 23:45,94231.96,51.16,32.15,H
28/05/2020 06:50,94639.09,57.17,30.89,L
28/05/2020 23:25,94942.47,42.92,31.66,L
01/06/2020 05:20,95056.24,57.39,29.49,L
26/05/2020 01:10,94396.21,47.96,31.65,L
01/06/2020 07:05,95069.06,61.13,27.07,L
28/05/2020 03:45,94433.35,55.59,31.05,L
25/05/2020 18:40,93790.49,48.48,32.34,L
01/06/2020 10:45,95238.51,64.8,27.42,E
31/05/2020 19:25,94886.17,48.31,30.7,H
26/05/2020 05:25,94544.1,53.9,29.44,L
27/05/2020 06:00,94734.93,56.23,29.58,L
31/05/2020 19:45,94963.23,55.19,29.88,M
04/06/2020 19:55,94437.41,53.7,31.58,M
01/06/2020 06:30,95041.6,57.23,29.39,L
28/05/2020 09:15,94806.47,62.9,29.72,L
04/06/2020 14:25,94550.86,50.93,30.55,L
26/05/2020 04:40,94494.37,48.64,30.48,L
28/05/2020 01:45,94451.43,54.14,30.92,L
04/06/2020 13:50,94588.72,50.88,30.58,L
28/05/2020 04:45,94642.13,56.6,30.93,L
27/05/2020 03:55,94763.32,56.68,29.74,L
04/06/2020 08:05,94641.18,62.61,29.74,E
04/06/2020 11:30,94688.79,60.4,30.66,M
14/05/2020 22:20,94309.81,56.22,30.89,L
28/05/2020 12:00,94863.9,57.19,30.47,L
26/05/2020 06:45,94610.37,53.87,29.51,L
04/06/2020 19:00,94402.53,47.9,31.42,M
